DATE,HOUR,STATION,FSP
1/4/2017,1,CENTRAL/WESTERN,9
1/4/2017,2,CENTRAL/WESTERN,N.A.
1/4/2017,3,CENTRAL/WESTERN,N.A.
1/4/2017,4,CENTRAL/WESTERN,N.A.
1/4/2017,5,CENTRAL/WESTERN,N.A.
1/4/2017,6,CENTRAL/WESTERN,N.A.
1/4/2017,7,CENTRAL/WESTERN,N.A.
1/4/2017,8,CENTRAL/WESTERN,N.A.
1/4/2017,9,CENTRAL/WESTERN,N.A.
1/4/2017,10,CENTRAL/WESTERN,N.A.
1/4/2017,11,CENTRAL/WESTERN,N.A.
1/4/2017,12,CENTRAL/WESTERN,N.A.
1/4/2017,13,CENTRAL/WESTERN,N.A.
1/4/2017,14,CENTRAL/WESTERN,16
1/4/2017,15,CENTRAL/WESTERN,16
1/4/2017,16,CENTRAL/WESTERN,21
1/4/2017,17,CENTRAL/WESTERN,20
1/4/2017,18,CENTRAL/WESTERN,19
1/4/2017,19,CENTRAL/WESTERN,17
1/4/2017,20,CENTRAL/WESTERN,20
1/4/2017,21,CENTRAL/WESTERN,19
1/4/2017,22,CENTRAL/WESTERN,18
1/4/2017,23,CENTRAL/WESTERN,18
1/4/2017,24,CENTRAL/WESTERN,17
2/4/2017,1,CENTRAL/WESTERN,21
2/4/2017,2,CENTRAL/WESTERN,23
2/4/2017,3,CENTRAL/WESTERN,26
2/4/2017,4,CENTRAL/WESTERN,31
2/4/2017,5,CENTRAL/WESTERN,32
2/4/2017,6,CENTRAL/WESTERN,36
2/4/2017,7,CENTRAL/WESTERN,40
2/4/2017,8,CENTRAL/WESTERN,42
2/4/2017,9,CENTRAL/WESTERN,44
2/4/2017,10,CENTRAL/WESTERN,43
2/4/2017,11,CENTRAL/WESTERN,34
2/4/2017,12,CENTRAL/WESTERN,34
2/4/2017,13,CENTRAL/WESTERN,31
2/4/2017,14,CENTRAL/WESTERN,31
2/4/2017,15,CENTRAL/WESTERN,30
2/4/2017,16,CENTRAL/WESTERN,30
2/4/2017,17,CENTRAL/WESTERN,29
2/4/2017,18,CENTRAL/WESTERN,29
2/4/2017,19,CENTRAL/WESTERN,35
2/4/2017,20,CENTRAL/WESTERN,36
2/4/2017,21,CENTRAL/WESTERN,31
2/4/2017,22,CENTRAL/WESTERN,27
2/4/2017,23,CENTRAL/WESTERN,25
2/4/2017,24,CENTRAL/WESTERN,27
3/4/2017,1,CENTRAL/WESTERN,24
3/4/2017,2,CENTRAL/WESTERN,23
3/4/2017,3,CENTRAL/WESTERN,28
3/4/2017,4,CENTRAL/WESTERN,39
3/4/2017,5,CENTRAL/WESTERN,47
3/4/2017,6,CENTRAL/WESTERN,43
3/4/2017,7,CENTRAL/WESTERN,44
3/4/2017,8,CENTRAL/WESTERN,41
3/4/2017,9,CENTRAL/WESTERN,34
3/4/2017,10,CENTRAL/WESTERN,25
3/4/2017,11,CENTRAL/WESTERN,24
3/4/2017,12,CENTRAL/WESTERN,28
3/4/2017,13,CENTRAL/WESTERN,28
3/4/2017,14,CENTRAL/WESTERN,33
3/4/2017,15,CENTRAL/WESTERN,30
3/4/2017,16,CENTRAL/WESTERN,31
3/4/2017,17,CENTRAL/WESTERN,31
3/4/2017,18,CENTRAL/WESTERN,26
3/4/2017,19,CENTRAL/WESTERN,26
3/4/2017,20,CENTRAL/WESTERN,26
3/4/2017,21,CENTRAL/WESTERN,29
3/4/2017,22,CENTRAL/WESTERN,30
3/4/2017,23,CENTRAL/WESTERN,31
3/4/2017,24,CENTRAL/WESTERN,26
4/4/2017,1,CENTRAL/WESTERN,26
4/4/2017,2,CENTRAL/WESTERN,26
4/4/2017,3,CENTRAL/WESTERN,25
4/4/2017,4,CENTRAL/WESTERN,27
4/4/2017,5,CENTRAL/WESTERN,33
4/4/2017,6,CENTRAL/WESTERN,32
4/4/2017,7,CENTRAL/WESTERN,34
